UniqueID,IDname,IDyear,Title,CAname,CAinst1,CAcountry,CAinst2,CAcountry2,Caspecialty,Caquali,AuthorNum,InstitNum,AuthorOvNum,InstitOvNum,SpecialtyNum,JournalName(fullname),JournalLoc,JournalScop,JournalSubscribe,Article,Field,Level,Class,CatQuanti,DataCollect,Began,Completed,StudySitesNum,Setting,Setting.1,Condition_primary,Condition_secondary,SubjMeasure,ObjMeasure,Intervention
0,Ab Rahman N,2016,Antibiotic prescribing in public and private practice: a cross-sectional study in primary care clinics in Malaysia,Norazida Ab Rahman,"Healthcare Statistics Unit, Clinical Research Centre, 3rd Floor MMA Building, 124 Pahang Road, 53000 Kuala Lumpur",Malaysia,,,Public health,md (postgraduate),3,1,0,0,1,BMC infectious diseases,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,Secondary (database),quantitative,prevalence,Secondary data retrieval,2014,2016,129 public clinic & 416 private clinics from 14 states,malaysia,Clinic,(A) General and unspecified,NA,Subjective- self-report,,No intervention
1,Ab Rahman N,2016,Health profiles of foreigners attending primary care clinics in Malaysia,Norazida Ab Rahman,"Healthcare Statistics Unit, Clinical Research Centre, 3rd Floor MMA Building, 124 Pahang Road, 53000 Kuala Lumpur",Malaysia,,,Public health,md (postgraduate),4,3,0,0,2,BMC health services research,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,Secondary (database),quantitative,prevalence,Secondary data retrieval,Aug-12,Nov-12,"6 states (Kuala Lumpur, Selangor, Putrajaya, Kelantan, Kota Kinabalu, and Kuching)",malaysia,Clinic,(A) General and unspecified,(Z) Social problems,Subjective- self-report,,No intervention
2,AFA Aziz,2018,Profile and outcome of post stroke patients managed at selected public primary care health centres in Peninsular Malaysia: A retrospective observational study.,Aznida Firzah Abdul Aziz,Universiti Kebangsaan Malaysia,Malaysia,,,Family medicine,phd (non-clinician),6,4,1,2,7,Scientific reports,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Health services,"Primary (include case reports, case series)",quantitative,prevalence,Cohort,Jul-12,31-Dec-12,10 public primary care centres,6 states penisular malaysia,Clinic,(K) Circulatory,NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
3,AFA Aziz,2009,Helicobacter pylori related dyspepsia: prevalence and treatment outcomes at University Kebangsaan Malaysia-Primary Care Centre.,Aznida Firzah Abdul Aziz,"Department of Family Medicine, Universiti Kebangsaan Malaysia Medical Centre, Jalan Yaacob Latiff, 56000 Kuala Lumpur, Malaysia",Malaysia,,,Family medicine,phd (non-clinician),5,1,0,0,3,Asia Pacific family medicine,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Jan-05,Jun-05,1 UKM primary care center,kl,University/college/teaching centre,(D) Digestive,NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
4,AFA Aziz,2014,Care for post-stroke patients at Malaysian public health centres: self-reported practices of family medicine specialists,Aznida Firzah Abdul Aziz,"United Nations University International Institute for Global Health, Kuala Lumpur",Malaysia,"Department of Family Medicine, Universiti Kebangsaan Malaysia Medical Centre, Jalan Yaacob Latiff, 56000 Kuala Lumpur, Malaysia",Malaysia,Public health,phd (non-clinician),6,3,1,0,3,BMC family practice,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",mixed,prevalence,Cross-sectional,Jun-11,Feb-12,Public primary healthcares,malaysia,University/college/teaching centre,(K) Circulatory,NA,Subjective- self-report,,No intervention
5,AFA Aziz,2016,The Cost of Post Stroke Treatment at Selected Public Primary Care Healthcentres In Malaysia,Aznida Firzah Abdul Aziz,Universiti Kebangsaan Malaysia,Malaysia,,,Public health,phd (non-clinician),4,2,1,1,1,VALUE IN HEALTH,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,,2016,3 public primary care center,penisular malaysia,Clinic,(K) Circulatory,NA,Subjective- self-report,,No intervention
6,AFA Aziz,2014,Promoting seamless transfer-of-care for stroke patients in primary care: development of the integrated care pathway for post stroke services,Aznida Firzah Abdul Aziz,"United Nations University International Institute for Global Health, Kuala Lumpur",Malaysia,"Department of Family Medicine, Universiti Kebangsaan Malaysia Medical Centre, Jalan Yaacob Latiff, 56000 Kuala Lumpur, Malaysia",Malaysia,Public health,phd (non-clinician),5,2,1,0,1,BMC public health,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Health services,"Primary (include case reports, case series)",others,prevalence,Cross-sectional,,2014,not available,community,University/college/teaching centre,(K) Circulatory,NA,Subjective- self-report,,No intervention
7,AFA Aziz,2017,The integrated care pathway for post stroke patients (iCaPPS): a shared care approach between stakeholders in areas with limited access to specialist stroke care services,Aznida Firzah Abdul Aziz,Universiti Kebangsaan Malaysia,Malaysia,,,Public health,phd (non-clinician),6,3,1,1,5,BMC health services research,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Health services,"Primary (include case reports, case series)",qualitative,interventional,RCT - Randomized controlled trial,09-Apr-12,2017,Public Healthcare,malaysia,University/college/teaching centre,(K) Circulatory,NA,Subjective- self-report,,Health services
8,Hasanain Faisal Ghazi,2013,"Overweight Problem among Primary Health Care Workers in Suburban District of Hulu Langat, Selangor, Malaysia",Nazma Mohd Salleh,Universiti Kebangsaan Malaysia,Malaysia,Universiti Kebangsaan Malaysia,Malaysia,Public health,"master (non-mmed) eg. mrcp, etc.",4,2,,0,2,Pakistan Journal of Nutrition,regional - within asia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2010,2010,6,clinic,Selangor,"(T) Endocrine, metabolic and nutritional",NA,,Objective- non-operator-dependence eg. lab analyser,No intervention
9,IA Razak,2008,Assessing the competency of University of Malaya dental graduates: employers’ and graduates’ perception,Ishak A.Razak,University of Malaya,Malaysia,University of Malaya,Malaysia,Dentistry,phd (non-clinician),5,1,0,0,1,Journal of Dental Education.,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,Primary (include case reports),quantitative,prevalence,Cross-sectional,2003,2003,,university/college/teaching centre,Malaysia,(A) General and unspecified,NA,Subjective- self-report,Objective- operator dependence,No intervention
